"Company","Item","Calories","Total.Fat..g.","Saturated.Fat..g.","Carbs..g.","Fiber..g.","Sugars..g.","Protein..g.","Salt.g","Category"
"McDonald’s","Nonfat Latte with Sugar Free Vanilla Syrup (Medium)",90,0,0,22,0,13,9,0.4,"Coffee_drinks"
"McDonald’s","Nonfat Latte with Sugar Free Vanilla Syrup (Large)",110,0,0,27,0,15,11,0.475,"Coffee_drinks"
"McDonald’s","Mocha with Nonfat Milk (Small)",240,5,3,41,0,34,7,0.325,"Coffee_drinks"
"McDonald’s","Mocha with Nonfat Milk (Medium)",280,6,3.5,50,0,42,8,0.4,"Coffee_drinks"
"McDonald’s","Mocha with Nonfat Milk (Large)",330,6,3.5,58,0,50,10,0.475,"Coffee_drinks"
"McDonald’s","Hot Chocolate with Nonfat Milk (Small)",250,5,3,43,0,37,8,0.35,"Milk"
"McDonald’s","Hot Chocolate with Nonfat Milk (Medium)",310,6,3.5,55,0,47,11,0.475,"Milk"
"McDonald’s","Hot Chocolate with Nonfat Milk (Large)",390,6,3.5,68,0,59,16,0.625,"Milk"
"McDonald’s","Iced Nonfat Latte (Small)",50,0,0,7,0,7,5,0.175,"Coffee_drinks"
"McDonald’s","Iced Nonfat Latte (Medium)",60,0,0,9,0,9,6,0.225,"Coffee_drinks"
"McDonald’s","Iced Nonfat Latte (Large)",70,0,0,11,0,11,7,0.2625,"Coffee_drinks"
"McDonald’s","Iced Nonfat Caramel Latte (Small)",140,0,0,30,0,30,3,0.2625,"Coffee_drinks"
"McDonald’s","Iced Nonfat Caramel Latte (Medium)",150,0,0,32,0,32,5,0.3,"Coffee_drinks"
"McDonald’s","Iced Nonfat Caramel Latte (Large)",190,0,0,40,0,40,6,0.375,"Coffee_drinks"
"McDonald’s","Iced Nonfat Hazelnut Latte (Small)",140,0,0,32,0,32,3,0.125,"Coffee_drinks"
"McDonald’s","Iced Nonfat Hazelnut Latte (Medium)",150,0,0,33,0,33,5,0.175,"Coffee_drinks"
"McDonald’s","Iced Nonfat Hazelnut Latte (Large)",190,0,0,42,0,42,6,0.2,"Coffee_drinks"
"McDonald’s","Iced Nonfat Vanilla Latte (Small)",140,0,0,31,0,31,3,0.125,"Coffee_drinks"
"McDonald’s","Iced Nonfat Vanilla Latte (Medium)",150,0,0,33,0,33,5,0.175,"Coffee_drinks"
"McDonald’s","Iced Nonfat Vanilla Latte (Large)",190,0,0,41,0,41,6,0.2125,"Coffee_drinks"
"McDonald’s","Iced Nonfat Latte with Sugar Free Vanilla Syrup (Small)",40,0,0,13,0,5,4,0.2125,"Coffee_drinks"
"McDonald’s","Iced Nonfat Latte with Sugar Free Vanilla Syrup (Medium)",50,0,0,14,0,6,5,0.25,"Coffee_drinks"
"McDonald’s","Iced Nonfat Latte with Sugar Free Vanilla Syrup (Large)",60,0,0,19,0,8,6,0.325,"Coffee_drinks"
"McDonald’s","Iced Mocha with Nonfat Milk (Medium)",270,8,4.5,43,0,35,7,0.35,"Coffee_drinks"
"McDonald’s","Iced Nonfat Caramel Mocha (Large)",300,6,4,49,0,45,11,0.575,"Coffee_drinks"
"McDonald’s","Iced Nonfat Caramel Mocha (Medium)",240,6,4,37,0,34,9,0.475,"Coffee_drinks"
"McDonald’s","Iced Nonfat Caramel Mocha (Small)",200,6,4,29,0,26,6,0.35,"Coffee_drinks"
